"Los Galanes","Mexican",3.5
"Midtown Shangri-La","Dim Sum",3.5
"Midtown Shangri-La","Sushi Bars",3.5
"Shake Shack","Burgers",3.5
"Shake Shack","Diners",3.5
"Hygrade Deli","Delis",4
"Detroit Beer Company","Breweries",3.5
"Detroit Beer Company","American (New)",3.5
"Ford Piquette Avenue Plant","Museums",4.5
"Ford Piquette Avenue Plant","Community Service/Non-Profit",4.5
"Socra Tea Detroit","Tea Rooms",4.5
"Socra Tea Detroit","Juice Bars & Smoothies",4.5
"Socra Tea Detroit","Sandwiches",4.5
"El Taco Veloz","Mexican",4.5
"Avalon Cafe and Bakery","Bakeries",4
"Avalon Cafe and Bakery","Breakfast & Brunch",4
"Avalon Cafe and Bakery","Cafes",4
"The Block","American (Traditional)",4
"Germack Coffee Roasting Co","Coffee & Tea",4.5
"Germack Coffee Roasting Co","Coffee Roasteries",4.5
"El Rey de Las Arepas","Venezuelan",4.5
"ima","Ramen",4.5
"ima","Noodles",4.5
"ima","Soup",4.5
"Frita Batidos","Burgers",4.5
"Frita Batidos","Cuban",4.5
"Abick's Bar","Pubs",4.5
"Abick's Bar","Dive Bars",4.5
"Jose's Tacos","Tacos",4
"Harmony Garden Cafe","Middle Eastern",4
"Harmony Garden Cafe","Vegetarian",4
"Harmony Garden Cafe","Burgers",4
"Bakers Keyboard Lounge","Jazz & Blues",4
"Bakers Keyboard Lounge","Soul Food",4
"Bakers Keyboard Lounge","Bars",4
"Cass Cafe","Vegetarian",3.5
"Cass Cafe","Sandwiches",3.5
"Cass Cafe","Bars",3.5
"Olin Bar & Kitchen","American (New)",4.5
"Olin Bar & Kitchen","Tapas/Small Plates",4.5
"Taystee's Burgers","Burgers",4.5
"Taystee's Burgers","Fast Food",4.5
"PizzaPlex","Pizza",4.5
"PizzaPlex","Cocktail Bars",4.5
"PizzaPlex","Wine Bars",4.5
"Red Dunn Kitchen","American (New)",4
"Red Dunn Kitchen","Bars",4
"Red Dunn Kitchen","Breakfast & Brunch",4
"American Coney Island","Diners",3.5
"American Coney Island","Hot Dogs",3.5
"Cork & Gabel","Comfort Food",4
"Tou & Mai","Bubble Tea",4
"Tou & Mai","Ice Cream & Frozen Yogurt",4
"Rose's Fine Food","American (New)",3.5
"Rose's Fine Food","Breakfast & Brunch",3.5
"The Red Hook","Vegetarian",4.5
"Rose's Fine Food","Barbeque",3.5
"The Red Hook","American (New)",4.5
"Telway Hamburgers","Sandwiches",4
"Telway Hamburgers","Burgers",4
"Saffron De Twah","Moroccan",4.5
"La Lanterna","Pizza",4
"La Lanterna","Wine Bars",4
"La Lanterna","Italian",4
"Wahlburgers","Burgers",3
"Wahlburgers","American (Traditional)",3
"PJ's Lager House","Music Venues",4
"Evie's Tamales","Mexican",4
"PJ's Lager House","Pubs",4
"Mike's Famous Ham Place","Sandwiches",4.5
"La Gloria Bakery","Bakeries",4
"Mike's Famous Ham Place","Delis",4.5
"The Red Hook","Coffee & Tea",4.5
"Original Gonella's","Delis",4.5
"Original Gonella's","Sandwiches",4.5
"Original Gonella's","Specialty Food",4.5
"Woodbridge Pub","Pubs",3.5
"MOTZ’S Burgers","Burgers",4.5
"Woodbridge Pub","Vegan",3.5
"Motor City Wine","Wine Bars",4
"Woodbridge Pub","Vegetarian",3.5
"Fishbone's","Seafood",3
"Fishbone's","Sushi Bars",3
"Fishbone's","Steakhouses",3
"E & L Supermercado","Meat Shops",4.5
"E & L Supermercado","Grocery",4.5
"E & L Supermercado","Mexican",4.5
"La Noria Bistro","Mexican",4.5
"Good Cakes and Bakes","Bakeries",4.5
"Good Cakes and Bakes","Cupcakes",4.5
"La Noria Bistro","Italian",4.5
"Good Cakes and Bakes","Vegan",4.5
"Capers","Steakhouses",4
"Union Street","American (Traditional)",3.5
"City Wings","Chicken Wings",4
"Besa","American (New)",4
"The Old Miami","Dive Bars",4
"The Old Miami","Music Venues",4
"Al-Ameer","Middle Eastern",4
"Besa","Seafood",4
"Besa","Salad",4
"8 Degrees Plato","Beer Bar",4.5
"8 Degrees Plato","Beer, Wine & Spirits",4.5
"Bucharest Grill","Mediterranean",3.5
"Bucharest Grill","American (Traditional)",3.5
"Shatila Bakery","Desserts",4
"Shatila Bakery","Custom Cakes",4
"McShane's Irish Pub- Downtown Detroit","American (Traditional)",4
"McShane's Irish Pub- Downtown Detroit","Irish Pub",4
"McShane's Irish Pub- Downtown Detroit","Whiskey Bars",4
"Shatila Bakery","Bakeries",4
"Qahwah House","Coffee & Tea",5
"Qahwah House","Desserts",5
"La Michoacana","Ice Cream & Frozen Yogurt",4.5
"Oak & Reel","Italian",4.5
"Oak & Reel","Seafood",4.5
"Candy Bar","Cocktail Bars",4
"Madcap Coffee","Coffee Roasteries",4.5
"Folk","Breakfast & Brunch",4
"Madcap Coffee","Coffee & Tea",4.5
"Z's Villa","American (Traditional)",4
"Z's Villa","Bars",4
"Folk","Cafes",4
"Folk","Wine Bars",4
